EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	12:30:22	0	0.1000	0.42715709924697876	0.2708066403865814	0.845	0.845	0.845	0.25770336389541626	0.865	0.865	0.865
1	12:36:28	0	0.1000	0.3226342570781708	0.24321900308132172	0.85	0.85	0.85	0.206456258893013	0.89	0.89	0.89
2	12:42:03	0	0.1000	0.2741010209918022	0.18369539082050323	0.95	0.95	0.95	0.16541193425655365	0.935	0.935	0.935
3	12:47:29	0	0.1000	0.16817127740010618	0.060491908341646194	0.97	0.97	0.97	0.02389594353735447	0.99	0.99	0.99
4	12:52:58	0	0.1000	0.08896045122295618	0.0761723518371582	0.975	0.975	0.975	0.033833328634500504	0.985	0.985	0.985
5	12:58:20	0	0.1000	0.0339459740370512	0.08529335260391235	0.975	0.975	0.975	0.03463273495435715	0.985	0.985	0.985
6	13:03:52	1	0.1000	0.04822189800441265	0.050898950546979904	0.985	0.985	0.985	0.018562912940979004	0.99	0.99	0.99
7	13:09:24	0	0.1000	0.04739766781916842	0.07740860432386398	0.975	0.975	0.975	0.03159065917134285	0.98	0.98	0.98
8	13:15:06	1	0.1000	0.03721319007687271	0.03276165574789047	0.995	0.995	0.995	0.0156975407153368	0.99	0.99	0.99
9	13:20:58	0	0.1000	0.02194577731192112	0.06674861162900925	0.975	0.975	0.975	0.026610655710101128	0.985	0.985	0.985
